answer,clue
HETUP,In a state
HEURE,1/24 of un jour
HEW,Fell
HEWED,Chopped
HEWER,Tree cutter
HEWN,Cut
HEWS,Fells
HEWTO,Strictly uphold
HEX,Malediction
HEXA,Dodeca- halved
HEXAD,"Hockey team, e.g."
HEXED,Entranced
HEXER,"Witch, at times"
HEXES,Spells
HEY,"""Just a cotton-pickin' minute!"""
HEYS,Startled cries
HEYYA,2003 #1 hit for OutKast
HGT,Fig. for a dating service questionnaire
HGTS,Hills: Abbr.
HGTV,"""Property Brothers"" network"
HHH,Primary loser to J.F.K. in 1960
HHOUR,D-Day time
HHS,Donna Shalala's dept.
HIC,Involuntary sound
HICK,Bumpkin
HICKS,Bumpkins
HICS,Saloon sounds
HID,Camouflaged
HIDE,Seek's opposite
HIDEF,"Sharp, on a TV, informally"
HIDER,Huntee in a game
HIDES,Goes underground
HIDEY,___-hole
HIDIN,Used as a lair
HIE,Run
HIED,Went in haste
HIER,Yesterday: Fr.
HIERO,"Prefix meaning ""sacred"""
HIES,Hurries
HIFI,Player of oldies when they were newies
HIFIS,Old 45 players
HIGH,What you might microwave something on
HIGHC,An alto probably can't hit it
HIGHS,Stock market figures
HIHAT,Pair of cymbals in a drum set
HIHO,Old cracker brand
HIJ,Alphabet trio
HIJAB,Halima Aden became the first Sports Illustrated model to wear one in 2019
HIKE,Scouting outing
HIKED,Upped
HIKER,Trail sight
HIKES,Walks
HILDA,"""Broom-___"""
HILL,Reason to downshift
HILLS,Rome has seven
HILLY,Full of ups and downs
HILO,Home to Waianuenue Falls
HILT,Maximum extent
HILTS,Sword handles
HILUM,Area where blood vessels enter an organ
HIM,"""I Will Follow ___"" (1963 #1 hit)"
HIMOM,Sign glimpsed on televised games
HIN,Ancient Hebrew liquid measure
HIND,Posterior
HINDI,Yogi's language
HINDS,Some deer
HINDU,"Like about 30% of 51-Across, belief-wise"
HINES,"Jazzman who played ""Boogie Woogie on The St. Louis Blues"""
HINGE,Its role is pivotal
HINNY,Horse/donkey cross
HINT,Bit of help
HINTS,Aids for the stumped
HIP,With it
HIPPO,"Gloria, in the animated ""Madagascar"" films"
HIPPY,Wide in the middle
HIPS,One Miss America measurement
HIPTO,Up on
HIQ,Peg solitaire puzzle brand
HIRAM,Grant name
HIRE,"Take on, as an employee"
HIRED,Brought on
HIREE,New ID badge recipient
HIRER,Personnel person
HIRES,Brings on
HIRT,Trumpeter Al
HIS,What's-___-name
HISN,Huck Finn possessive
HISS,Fuse sound
HISSY,___ fit
HIST,H.S. subject
HIT,Google datum
HITA,___ run of bad luck
HITAT,Try to swipe
HITCH,Thumb
HITE,"""Women and Love"" writer"
HITEM,"""___ where they ain't"""
HITIT,Jazz cat's command
HITME,Twenty-one words
HITON,Make a pass at
HITOR,___ miss
HITS,Top 40 station's play list
HITTO,"""Take two and ___ right"" (old baseball adage)"
HITUP,"Ask, as for a loan"
HIVE,Busy place
HIVED,Joined the swarm
HIVES,Possible skin test reaction
HIYA,Slangy greeting
HIYO,"""___ Silver, away!"""
HMM,"Not an ideal answer to ""Do these jeans make me look fat?"""
HMO,Insurance letters
HMONG,Southeast Asian ethnic group
HMOS,"Care providers, for short"
HMS,"""___ Pinafore"""
HOAD,1950s Wimbledon champ Lew
HOAG,"Judith of TV's ""Nashville"""
HOAGY,"""Jelly Roll, Bix and ___"" (1994 history of early jazz)"
HOAR,Winter coating
HOARD,Squirrel away
HOARS,Winter coats?
HOARY,Ancient
HOAX,Elaborate April fool
HOB,Play___with (do mischief to)
HOBAN,"""Riddley Walker"" author Russell ___"
HOBBS,"Roy ___, title character in ""The Natural"""
HOBBY,Unpaid interest?
HOBO,Great Depression figure
HOBOS,Some campfire makers
HOBS,Quoits pegs
HOC,Ad-___ committee
HOCH,Scott of the P.G.A.
HOCHI,___ Minh
HOCK,Leave at a pawnshop
HOCKS,Equine ankles
HOCUS,Start of a conjurer's phrase
HOD,Cement holder
HODA,"Matt's replacement on ""Today"""
HODAD,Beach impostor
HODGE,"Patricia of ""Betrayal"""
HODS,Bricklayers carry them
HOE,Ground breaker
HOED,Got rid of 64-Across
HOER,Garden worker
HOERS,Tillers
HOES,Tilling tools
HOFFA,Missing Jimmy
HOG,Take most of
HOGAN,"Paul of ""Crocodile Dundee"""
HOGG,"""Dukes of Hazzard"" boss"
HOGGS,"Boss of ""The Dukes of Hazzard"" and others"
HOGS,Bikers' mounts
HOHO,Hostess snack cake
HOHOS,Snack cake brand since 1967
HOHUM,Dull
HOI,___ polloi
HOIST,"Jack, e.g."
HOJO,"Chain hotel, for short"
HOKE,Balderdash
HOKEY,Contrived
HOKUM,Nonsense
HOL,Christmas or Thanksgiving: Abbr.
HOLA,"""Hi, Jose!"""
HOLD,Full or half nelson
HOLDS,Has a capacity of
HOLE,Boring result
HOLED,___ up (hid out)
HOLES,The 18 in a round of 18
HOLEY,Well-ventilated
HOLI,Hindu spring festival
HOLLA,"Give a casual greeting, in modern lingo"
HOLLY,Christmas decoration
HOLM,Evergreen oak
HOLMS,Mediterranean oaks
HOLO,Prefix with -gram
HOLST,"""The Hymn of Jesus"" composer"
HOLT,News anchor Lester
HOLY,___ war
HOM,Same: Prefix
HOME,See 55-Down
HOMED,___ in on (moved toward)
HOMEO,Prefix with -pathy
HOMER,"Dad who says ""D'oh!"""
HOMES,Great Lakes mnemonic
HOMEY,Comfortable
HOMIE,Bro
HOMME,Grown-up garcon
HOMO,38-Across's genus
HOMY,Very comfortable
HON,Puddin'
HONAN,Cheng-chou's province
HONDA,Accord maker
HONDO,1953 movie that shares the name of a Texas town
HONE,Perfect
HONED,Put an edge on
HONER,Practicer
HONES,Fine-tunes
HONEY,Sweetums
HONG,___ Kong
HONI,"""___ soit qui mal y pense"""
HONK,Angry driver's signal
HONKS,Rush-hour din
HONOR,West Point byword
HONUS,"___ Wagner, player on an ultrarare baseball card"
HOO,"""Yoo-___!"""
HOOCH,Likker
HOOD,Part of a parka
HOODS,Gangsters
HOOEY,Nonsense
HOOF,Split part of a reindeer
HOOFS,Dances onstage
HOOHA,Hullabaloo
HOOK,"Attention-grabbing riff, perhaps"
HOOKE,Pioneering scientist Robert
HOOKS,Some punches
HOOKY,Play ___
HOOP,Circular kind of earring
HOOPS,B-ball
HOOT,Knee-slapper
HOOTS,Hollers
HOP,Event where the twist was done
HOPE,Rhode Island's motto
HOPED,Trusted
HOPER,Optimist
HOPES,Partners of dreams
HOPI,Western Indian
HOPIN,Roadside offer
HOPIS,Kachina doll makers
HOPO,___-my-thumb
HOPON,Biker's invitation
HOPS,Brewer's need
HOPTO,Get cracking on
HOPUP,Increase the energy of
HOR,Where the land meets the sky: Abbr.
HORA,Circle dance
HORAE,Guardians of the gates of Olympus
HORAL,Every 60 minutes
HORAS,Wedding dances
HORDE,Swarm
HOREB,Biblical peak
HORN,Honker
HORNE,"Star of a one-woman Broadway hit, 1980-82"
HORNS,Some people lock them
HORNY,"""Me So ___"" (1989 rap chart-topper)"
HORS,___ de combat
HORSE,Neigh sayer
HORST,German president Kohler
HORSY,"Carousel mount, to a tot"
HORUS,Falcon-headed Egyptian god
HOS,Yuletide interjections
HOSE,Extension from a fire truck
HOSEA,Book between Daniel and Joel
HOSED,"Sprayed, as a sidewalk"
HOSER,Canadian boor
HOSES,Extinguisher attachments
HOSNI,Egypt's Mubarak
HOSP,Ambulance's destination: Abbr.
HOSPS,R.N. locales
HOSS,Pardner's mount
HOST,"Have over, say"
HOSTA,Popular landscaping plant
HOSTS,Party givers
HOT,On a streak
HOTE,Reception V.I.P.
HOTEL,Building usually without a 13th floor
HOTH,"Ice planet in ""The Empire Strikes Back"""
HOTL,"Off-Broadway's ""___ Baltimore"""
HOTLY,How angry words are spoken
HOTS,Have the ___ for
HOTSY,___-totsy
HOU,"The Rockets, on scoreboards"
HOUGH,"Two-time ""Dancing With the Stars"" co-winner Julianne"
HOUND,"Elvis's ""___ Dog"""
HOUR,Period of a revolution?
HOURI,Beautiful woman of paradise
HOURS,See 50-Down
HOUSE,Theater audience
HOV,___ lane
HOVE,"Hoisted, nautically"
HOVEL,Shack
HOVER,Behave like a helicopter parent
HOW,Much may follow it
HOWDO,Greeting said with a tip of the hat
HOWDY,Cowboy's greeting
HOWE,"""The Battle Hymn of the Republic"" writer"
HOWES,Inventor Elias and others
HOWI,"""Oh, ___ Love Jesus"" (hymn)"
HOWIE,Comic Mandel
HOWL,React to something hilarious
HOWLS,Is helpless with laughter
HOWRU,"""What's up?,"" in textspeak"
HOWS,"""___ that again?"""
HOWSO,"""In what way?"""
HOWTO,Self-help category
HOY,Major American Spanish-language newspaper
HOYA,Georgetown athlete
HOYAS,Georgetown athletes
HOYLE,"Posthumous inductee into the Poker Hall of Fame, 1979"
HOYT,Baseball Hall-of-Famer Wilhelm
HPS,Car engine stats: Abbr.
HQS,C.O.'s hangouts
HRE,Charlemagne's domain: Abbr.
HRH,Regal letters
HROSS,Politico Perot
HRS,Abbr. on a timecard
HSI,Fu-___ (legendary Chinese sage)
HSIA,Early Chinese dynasty
HSN,Cable inits. for sales pitches
HST,White House monogram
HTEN,Coordinate in the game Battleship
HTEST,"Cloud producer, informally"
HTML,Web programmer's medium
HTS,"Broadview ___, O."
HTTP,URL starter
HTTPS,Certain address starter
HUA,Mao's successor
HUAC,1950's Communist-hunting grp.
HUANG,Second-longest river of China
HUB,Airline's home base
HUBBA,"When repeated, an old-fashioned cry"
HUBBY,One of a hitched pair
HUBS,Central points
HUCK,"1884 literary hero, informally"
HUD,Cabinet dept. since 1965
HUE,Shade
HUED,Shaded
HUES,Tones
HUEVO,Egg: Sp.
HUEY,___ Lewis and the News
HUEYS,"Some military helicopters, familiarly"
HUFF,"Angry, resentful state"
HUFFY,Offended
HUG,Embrace
HUGE,Gargantuan
HUGER,More colossal
HUGH,Grant for filmmaking?
HUGME,Message on a candy heart
HUGO,Boss of fashion
HUGOS,Annual science fiction awards
HUGS,Partner of kisses
HUH,"""Say, what?"""
HUHS,Confused responses
HUIS,"Sartre's ""___ clos"""
HUIT,Quatre + quatre
HULA,Dance with a lot of hip movement
HULAS,Island dances
HULCE,"""Amadeus"" co-star"
HULK,Dismantled ship
HULKS,Unwieldy ships
HULL,E-F-G-H-E
HULOT,Monsieur ___ (Jacques Tati role)
HULU,Amazon Prime competitor
HUM,Operate smoothly
HUMAN,"What ""to err is"""
HUME,"""An Enquiry Concerning Human Understanding"" philosopher"
HUMID,Moist
HUMOR,"""___ me"" (""Go along with it"")"
HUMP,Camel feature
HUMPH,"""Be that way!"""
HUMPS,Mini-mountains
HUMS,Runs perfectly
HUMUS,Rich soil component
HUN,Attila the ___
HUNAN,Chinese province where Mao was born
HUNCH,Inkling
HUND,"""Best friend"" from Germany?"
HUNG,Permanently undecided
HUNH,"""What the ...?"""
HUNK,Typical romance novel love interest
HUNKY,Like a Chippendales dancer
HUNS,Barbaric sorts
HUNT,Easter activity
HUNTS,Easter activities
HUP,Start of a drill sergeant's count
HUPS,Cadence sounds
HUR,"Judah's house, in a Lew Wallace title"
HURD,Western scene painter Peter
HURL,Throw
HURLS,Casts
HURLY,___-burly
HUROK,Impresario Sol
HURON,Great Lake name
HURRY,"""Faster!"""
HURST,Writer Fannie
HURT,Offended
HURTS,Smarts
HUS,Czech reformer Jan
HUSH,"When repeated, not to be repeated"
HUSK,Ear covering
HUSKS,Coverings on ears of corn
HUSKY,Iditarod dog
HUSSY,Impudent lady
HUT,"""Survivor"" shelter"
HUTCH,Cupboard with open shelves at the top
HUTS,A lot of a drill sergeant's drill
HUTT,"Jabba the ___ of ""Star Wars"""
HUTU,Native Rwandan
HVAC,Climate control syst.
HWY,Line on a map: Abbr.
HWYS,Major rtes.
HYATT,Marriott rival
HYDE,Mr. of 19th-century fiction
HYDRA,Many-headed serpent
HYDRO,Dynamic start?
HYENA,Serengeti scavenger
HYMAN,Adm. Rickover of the 40-Across
HYMN,"15-Across, e.g."
HYMNS,Sunday songs
HYNDE,Chrissie in the Rock and Roll Hall of Fame
HYP,Triangle part: Abbr.
HYPE,Build up
HYPED,Beat the drum for
HYPER,Keyed up
HYPES,Builds up
HYPNO,Sleep: Prefix
HYPO,Syringe
HYPOS,Vaccinator's supply
HYSON,Tea variety
IAGO,Globe plotter
IAIM,"""___ to please!"""
IAL,Suffix with different
IAM,"Words before and after ""what"""
IAMA,"""___ Simple Man"" (#1 Ricky Van Shelton song)"
IAMB,Part of a meter
IAMBI,Metric feet
IAMBS,There are 70 in a Shakespearean sonnet
IAMI,"""___ Said"" (Neil Diamond hit)"
IAMS,Pet food brand
IAMSO,Retort to 4-Down
IAN,"Scottish form of ""John"""
IANA,Bibliophile's suffix
IAND,"Martin Buber's ""___ Thou"""
IANS,Writer Fleming and others
IAS,___ in ink
IASI,Former capital of Romania
IASK,"""Now ___ you!"""
IAT,"""Ten thousand saw___a glance"": Wordsworth"
IATE,"""Must've been something ___"""
IBA,Basketball Hall of Fame coach Hank
IBAR,Construction beam
IBARS,Letter-shaped construction pieces
IBE,"""May ___ frank?"""
IBEAM,Skyscraper support
IBEG,"""___ to differ!"""
IBERT,"""Angelique"" composer"
IBET,Skeptic's reply
IBEX,Old World goat
IBI,There: Lat.
IBID,Footnote abbr.
IBIS,Large bill holder
IBIZA,Island SW of Majorca
IBLE,Suffix with discern
IBM,Blue chip co.
IBMPC,Item often cloned
IBMS,Some mainframe computers
IBN,Former Saudi king ___ Saud
IBO,Nigerian tribesman
IBOOK,Apple product
IBOS,"Okonkwo's people in ""Things Fall Apart"""
IBSEN,"""Peer Gynt"" playwright"
ICAHN,Billionaire who lent his name to a stadium on New York's Randalls Island
ICAL,Suffix with egotist
ICALL,Poker declaration
ICAME,Caesarean section?
ICAN,Words of confidence
ICANT,"""This is too much for me"""
ICARE,Supporting statement
ICBM,"Warhead carrier, for short"
ICBMS,"Parts of a Cold War arsenal, for short"
ICC,Former railroad regulatory agcy.
ICE,Clinch
ICEAX,Polar explorer's implement
ICED,"Prevented from swelling, maybe"
ICEE,Summer cooler
ICEES,Alternatives to Slurpees
ICEIN,"Strand during the winter, say"
ICEIT,Seal the deal
ICEL,Reykjavik's home: Abbr.
ICER,Pastry finisher
ICERS,"N.H.L. players, informally"
ICES,"Helps reduce the swelling of, say"
ICET,"Self-styled ""Original Gangster"""
ICEUP,"Get slick, in a way"
ICH,German pronoun
ICHAT,Apple's instant-messaging program
ICHOR,Blood shed on Mount Olympus
ICI,"""Vous etes ___"" (French map notation)"
ICIAN,Suffix with beaut-
ICIER,"More slippery, as winter roads"
ICILY,With aloofness
ICING,Cake topper
ICK,"""Ewww!"""
ICKES,Clinton staffer Harold
ICKY,Like creepy-crawlies
ICOME,"""___ to bury Caesar..."""
ICON,Symbol on a computer screen
ICONO,Image: Prefix
ICONS,Computer screen lineup
ICOSA,Prefix with -hedron
ICS,Suffix with 42-Down
ICTUS,Metrical accent
ICU,Med. center ward
ICUS,"Some ""Grey's Anatomy"" settings, for short"
ICY,Not just aloof
IDA,Home of Sen. Mike Crapo: Abbr.
IDAE,Family name suffix in taxonomy
IDAHO,Where Shoshone Falls falls
IDARE,"""Do ___?"" (scaredy-cat's query)"
IDAS,TV's Mrs. Morgenstern et al.
IDBE,"""___ delighted!"""
IDBET,"""In all probability"""
IDDO,"""... and ___ it again!"""
IDE,Suffix with chlor- or sulf-
IDEA,Start of an invention
IDEAL,10 out of 10
IDEAS,Notions
IDED,Picked out of a lineup
IDEE,It comes from une tete
IDEES,Nice notions
IDEM,Footnote word
IDENT,"Passport, e.g.: Abbr."
IDEO,Prefix with -logue
IDES,Midmonth day
IDEST,"That is, in Latin"
IDI,"___ Amin, Oscar-winning role for Forest Whitaker"
IDID,"""Look what ___!"""
IDIE,"""And if ___ before ..."""
IDIG,"""Gotcha"""
IDINA,Tony winner Menzel
IDING,Job at a lineup
IDIO,Peculiar: Prefix
IDIOM,"""Hot to trot"" or ""cold feet"""
IDIOT,Dodo
IDLE,Just chilling
IDLED,Lollygagged
IDLER,Shiftless one
IDLES,Takes it easy
IDLY,How doodles are usually drawn
IDNO,Prisoner's assignment: Abbr.
IDO,"Response to ""Who wants some?"""
IDOL,Temple figure
IDOLS,False gods
IDONE,"""What on earth have ___?"""
IDONT,Surprise declaration at the altar
IDOS,Bride and groom exchange
IDOTO,"""What did ___ deserve this?"""
IDRIS,"""The Wire"" actor ___ Elba"
IDS,"Driver's licenses, in bars"
IDSAY,"""Methinks ..."""
IDTAG,Holder of a dog's name and owner info
IDVE,Contraction with two apostrophes
IDY,"Mount ___, Charley Weaver's hometown"
IDYL,Theocritus work
IDYLL,"Peaceful, picturesque scene"
IDYLS,Rustic poems
IED,"Roadside bomb, briefly"
IEDS,"Modern war hazards, for short"
IEOH,"The ""I"" of I. M. Pei"
IER,Suffix with bombard
IERE,French noun suffix
IERI,Yesterday: It.
IERS,Cash conclusions
IES,Plural suffix
IEST,Superlative suffix
IEVER,"""Do ___!"" (emphatic agreement)"
IFA,"""... ___ woodchuck could chuck wood"""
IFALL,"Patsy Cline's ""___ to Pieces"""
IFAT,"""___ first you don't..."""
IFC,"Movie co. behind ""Wordplay"" and ""My Big Fat Greek Wedding"""
IFEAR,Worrier's opening words
IFEEL,"Words before ""Fine"" and ""Pretty"" in song"
IFELL,"Possible answer to ""How'd you hurt yourself?"""
IFFY,Up in the air
IFHE,"""___ can do it ..."""
IFI,"""Don't mind ___ do!"""
IFIDO,"""Damned ___, damned ..."""
IFILL,Peabody Award-winning journalist Gwen
IFIT,"""___ ain't broke ..."""
IFNI,"Sidi ___, Morocco"
IFNO,"""___ one objects ..."""
IFNOT,Otherwise
IFOLD,Response to a lousy deal
IFOR,"""___ one ?à"" (opiner's opening)"
IFS,Stipulations
IFSAY,Hypothetical example opener
IFSO,Hypothetical phrase
IFWE,"""___ Must Die"" (Claude McKay poem)"
IFY,Speech closing?
IFYOU,"Quote, part 4"
IGA,Supermarket chain
IGAS,Alternatives to Krogers and Safeways
IGAVE,Donation declaration
IGER,Media exec Robert
IGET,"""___ that a lot"""
IGETA,"""Can ___ Witness"" (Marvin Gaye hit)"
IGGY,Punk rock's ___ Pop
IGIVE,Cry for mercy
IGLOO,Place to store mukluks
IGLU,Eskimo home: Var.
IGLUS,Northern abodes: Var.
IGN,Starter: Abbr.
IGNIS,"Fire, to Flavius"
IGO,"""___ out walkin' after midnight"" (Patsy Cline lyric)"
IGOR,Fictional lab assistant
IGORS,Stravinsky and others
IGOT,"""___ You Babe"" (1965 song)"
IGOTA,"Jim Croce's ""___ Name"""
IGOTO,"Billy Joel's ""___ Extremes"""
IHAD,"""If___a nickel..."""
IHADA,"""If ___ nickel..."""
IHATE,"""___ to break the news ..."""
IHAVE,"Vic Damone's ""___But One Heart"""
IHEAR,"""Rumor has it ..."""
IHIT,"""___ the jackpot!"""
IHN,"Him, in Heidelberg"
IHOP,Blue-roofed chain
IHOPE,"""From your mouth to God's ears!"""
IHOPS,"Flapjack places, familiarly"
IHRE,German possessive pronoun
IHS,Monogram on Christian crosses
III,Midafternoon on a sundial
IIII,Late afternoon on a sundial
IIN,"""Am ___ your way?"""
IIS,"Sue Grafton's ""___ for Innocent"""
IJK,H-L connectors
IKE,Hurricane of 2008
IKEA,Assemble-it-yourself chain
IKEAS,Sellers of product lines like Joxtorp and Knorrig
IKES,"Mike and ___ (some jellybeans, informally)"
IKID,"""Just playing"""
IKNEW,"""No surprise to me"""
IKNOW,"""You don't have to tell me"""
IKO,"When doubled, a hit song of 1965 and 1989"
IKON,Religious image: Var.
ILA,Dock org.
ILANA,Actress Glazer
ILAY,"""___ me down to rest me"" (old prayer start)"
ILE,Land in the Seine
ILEA,"Guts, in part"
ILEAC,Of the lower small intestine
ILED,"""___ Three Lives"" (TV oldie)"
ILEDE,___ la Cite (bit of land in the Seine)
ILEFT,"""___ My Sugar Standing in the Rain"" (1920s hit)"
ILENE,Graff of stage and screen
ILER,"Robert of ""The Sopranos"""
ILES,Parts of Polynesie
ILET,"""___ a song go out ?à"""
ILEUM,Intestinal division
ILEX,Oak variety
ILGWU,Labor grp.
ILIA,Pelvis parts
ILIAC,Pelvis-related
ILIAD,Trojan War epic
ILIAL,Of a pelvic bone
ILICH,Lenin's middle name
ILIE,"""Would ___?"""
ILIED,"""O.K., you caught me"""
ILIKE,"""That's what ___!"""
ILION,Classical name of Troy
ILIUM,Home of the Trojans
ILIVE,"Helen Keller's ""The World ___ In"""
ILK,Type
ILKA,"Actress Chase of ""Now, Voyager"""
ILKS,Types
ILL,"""___ Be Home for Christmas"""
ILLAT,___ ease
ILLBE,"""Wouldja look at that!"""
ILLE,"""Winnie ___ Pu"""
ILLER,"More sick, in dialect"
ILLGO,Volunteer's cry
ILLIN,"Run-D.M.C.'s ""You Be ___"""
ILLS,Woes
ILLUS,Card catalogue abbr.
ILLY,In a bad way
ILO,World workers' assn.
ILONA,"Massey of ""Balalaika"""
ILOSE,"""You got me this game"""
ILOST,Competitor's lament
ILOVE,"Cole Porter's ""___ Paris"""
ILRE,"Mozart's ""___ Pastore"""
ILS,"They, in Tours"
ILSA,"""Judge Dredd"" villainess"
ILSAS,"""Casablanca"" heroine and others"
ILSE,"Actress Steppat of ""On Her Majesty's Secret Service"""
ILUV,"""___ It"" (2006 Young Jeezy single)"
ILUVU,Message on a candy heart
ILYA,Three-time N.H.L. All-Star Kovalchuk
IMA,"The Monkees' ""___ Believer"""
IMAC,Leopard's home?
IMACS,Apples in some schoolrooms
IMAGE,Effigy
IMAGO,Entomological stage
IMALL,"""___ ears!"" (""Listening!"")"
IMAM,Religious leader usually sporting a beard
IMAMS,Muslim leaders
IMAN,Somali-born supermodel
IMAPC,Statement in an old Apple ad
IMARI,___ ware (Japanese porcelain)
IMAS,"""Look at me, ___ helpless ..."" (opening to ""Misty"")"
IMAT,"""___ the end of my rope!"""
IMAX,Giant-screen theater
IMAY,"""It's a possibility for me"""
IMBAD,1987 declaration from Michael Jackson
IMBED,Fix firmly
IMBUE,Permeate
IMDB,Website with Oscars recaps
IMDUE,"""My luck is bound to change"""
IME,"The Beatles' ""___ Mine"""
IMEAN,"""That is to say ..."""
IMED,Alternative to texted
IMET,"""___ a man with seven wives"""
IMETA,"John Ciardi's ""___ Man"""
IMF,World financial grp.
IMGAY,Coming-out announcement
IMHIP,"""Gotcha, bro"""
IMHIT,Cry to a battlefield medic
IMHO,Blogger's preface
IMHOT,"""Can we turn on the A/C in here?!"""
IMIDE,Ammonia derivative
IMIN,"""Sign me up!"""
IMIND,"""That bothers me"""
IMINE,Ammonia compound
IMING,"Online back-and-forth, informally"
IMIT,"""You're stuck with me"""
IMMAD,What a red-faced emoji might mean
IMMIE,Mib's relative
IMMIX,Blend
IMNO,"""___ fool ..."""
IMNOT,"""___ Rappaport"""
IMO,Text qualifier
IMOF,"""___ two minds"""
IMOFF,"""Toodles!"""
IMOK,"""How are you?"" response"
IMON,"""___ Fire"" (Springsteen hit)"
IMONA,"""___ roll!"""
IMOUT,"""See ya!"""
IMP,Little devil
IMPEI,John Hancock Tower designer
IMPEL,Push forward
IMPLY,Get at
IMPS,Devilkins
IMRE,50's Hungarian leader Nagy
IMS,"Sends an OMG or LOL, say"
IMSAD,:-(
IMSET,"""No more for me, thanks"""
IMSO,"The Pointer Sisters' ""___ Excited"""
IMTHE,"""___ Only One"" (Melissa Etheridge hit)"
IMTO,"""If ___ believe ..."""
IMTOO,"""___ Sexy"" (1991 dance hit)"
IMUP,"""No need to wake me"""
IMUS,Don with a gift of gab
IMUST,Words of certainty
IMY,"""Am ___ brother's keeper?"""
INA,"""___ pig's eye!"""
INAID,Grant-___
INAIR,Where Francis Scott Key saw bombs bursting
INALL,As a whole
INAN,___ instant
INAND,___ around (near)
INANE,Cockeyed
INANY,___ case
INAPT,Unsuited
INAS,Actress Claire et al.
INAT,___ the finish
INAWE,Having one's jaw dropped
INB,"Schubert's Symphony ___ Minor (""Unfinished Symphony"")"
INBAD,Hardly getting along
INBED,Still sleeping
INBIG,"""You're ___ trouble!"""
INBOX,Tray containing work to do
INBUD,Preparing to bloom
INC,"""Monsters, ___"""
INCA,Old inhabitant of 14-Across
INCAN,Like some pre-Columbian art
INCAS,Atahualpa's people
INCE,"""Civilization"" director Thomas"
INCH,Span fraction
INCL,With: Abbr.
INCOG,"Disguised, briefly"
INCR,Enlargement: Abbr.
INCUR,Bring upon oneself
INCUS,Ear bone also known as the anvil
IND,Oh./Ill. separator
INDC,"Visiting the Library of Cong., say"
INDEX,Rear of many a book
INDIA,"""Gunga Din"" setting"
INDIC,Sanskrit's language group
INDIE,Not one of the majors
INDO,___-European languages
INDRA,Hindu god of thunder
INDS,Some candidates: Abbr.
INDUE,___ time
INDUS,Pakistan's chief river
INDY,"""500"" race, familiarly"
INE,"Like Vivaldi's ""Spring"""
INEED,"""Baby, ___ Your Loving"""
INEPT,Bumbling
INERT,Not showing much life
INES,"Juana ___ de la Cruz, Mexican nun and poet"
INEZ,Don Juan's mother
INF,Like Beethoven's Symphony No. 8
INFER,Gather (from)
INFO,It's gathered by scouts
INFOR,Soon to experience
INFRA,Prefix with red
INFUN,Not seriously
ING,Dutch-based financial giant
INGA,Actress Swenson
INGAS,"""Young Frankenstein"" woman and others"
INGE,Kansas-born playwright
INGER,Actress Stevens of 60's TV
INGES,"""Picnic"" playwright's kin"
INGLE,Hearth
INGOD,How many trust
INGOT,Gold bar
INHD,Like the best streams?
INHER,"""And to those thorns that ___ bosom lodge"": Shak."
INHIS,"""God's ___ heaven, all's right with the world"""
INHOT,___ water (facing trouble)
INI,Reggae's ___ Kamoze
INICE,How beer at a cookout might be kept
INIGO,Architect Jones
ININK,"Permanently, as writing"
INIS,"""Last one ___ ..."""
INIT,Any part of J.F.K.: Abbr.
INITS,The J. and K. in J. K. Rowling: Abbr.
INJUN,Twain's ___ Joe
INK,Newspaper supply
INKA,"""___ Dinka Doo"" (Durante tune)"
INKED,"Approved, as a contract"
INKER,Printing press gizmo
INKEY,One way to sing
INKIN,Fully blacken
INKLE,Linen tape for trimmings
INKS,"Finalizes, in a way"
INKY,Extremely dark
INLA,"""To Live and Die ___"" (film)"
INLAW,"Holiday visitor, maybe"
INLAY,Fine furniture feature
INLET,Dock site
INLOW,Like trucks going up or down a steep hill
INLY,Deeply
INMAN,Admiral Bobby who directed the N.S.A. under Jimmy Carter
INME,"""You've Got a Friend ___"" (song from ""Toy Story"")"
INMY,"The Beatles' ""___ Life"""
INN,Rodeway ___
INNER,Type of tube
INNES,"Actress Laura of ""ER"""
INNIE,Belly button type
INNIS,Civil-rights leader Roy
INNO,___ time
INNS,Sights near highway exits
INNY,Belly-button type
INNYC,"""Back ___"" (1974 Genesis song)"
INO,Odysseus' rescuer
INOIL,How some foods are packed
INON,Privy to
INONE,___ fell swoop
INOR,"""Are you ___ out?"""
INOT,"Playing extra minutes, for short"
INOUR,"""Give peace ___ time, O Lord"": Morning Prayer"
INOUT,Words on a pair of desk trays
INOW,"""___ pronounce you ..."""
INPEN,"Permanently, as writing"
INPUT,Data
INQ,Question: Abbr.
INRE,Regarding
INRED,"How Santa dresses, mostly"
INREM,Like some legal proceedings
INRI,Cross letters
INRO,Japanese lacquer box
INRUN,First part of a ski jump
INS,People whom it's helpful to know
INSET,Atlas feature
INSIN,Not righteously
INSO,___ many words
INSP,Police dept. employee
INST,"The ""I"" of R.P.I.: Abbr."
INSTA,"Photo-sharing app, familiarly"
INSTR,Wordless song: Abbr.
INSTS,Schools for engrs.
INSUM,Altogether
INT,Defensive football stat: Abbr.
INTEL,Bond yield?
INTEN,One ___ (long odds)
INTER,Prefix with face or faith
INTHE,___ pink
INTL,Part of IBM: Abbr.
INTO,"Really liking, informally"
INTOO,"""___ Deep"" (1999 Omar Epps film)"
INTOW,Being dragged along
INTR,Verb type: Abbr.
